essay_id,prompt_id,narrativity_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
5978,3,1,medium,low,low,medium,medium,medium,low,low,medium,medium
5979,3,2,medium,medium,high,medium,medium,medium,medium,medium,high,high
5980,3,1,medium,low,low,medium,medium,medium,low,low,low,medium
5981,3,0,medium,low,medium,medium,medium,medium,medium,low,medium,medium
5982,3,1,medium,low,medium,medium,medium,medium,low,low,medium,medium
5983,3,1,medium,low,low,low,low,medium,low,low,medium,medium
5984,3,1,low,low,low,low,low,medium,low,low,low,low
5985,3,0,low,low,low,low,low,low,low,low,low,low
5986,3,2,medium,medium,high,medium,medium,high,medium,medium,high,high
5987,3,3,high,medium,high,medium,medium,high,medium,medium,high,high
5988,3,3,high,medium,high,high,medium,high,medium,medium,high,high
5989,3,2,high,medium,high,high,high,high,high,low,high,high
5990,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5991,3,1,medium,medium,medium,medium,medium,high,high,medium,high,medium
5992,3,2,medium,medium,medium,medium,medium,high,medium,high,high,medium
5993,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
5994,3,1,low,low,low,low,low,medium,low,low,low,low
5995,3,3,medium,medium,high,medium,medium,high,medium,medium,high,medium
5996,3,2,medium,medium,high,high,high,high,medium,medium,medium,high
5997,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5998,3,2,medium,medium,medium,medium,medium,high,medium,high,medium,medium
5999,3,0,low,low,low,medium,low,medium,low,low,low,low
6000,3,3,high,medium,high,medium,medium,medium,medium,medium,high,high
6001,3,0,medium,low,medium,low,low,medium,low,low,medium,medium
6002,3,2,medium,low,medium,medium,medium,high,medium,medium,medium,high
6003,3,3,high,high,high,high,high,high,high,high,high,high
6004,3,0,low,low,low,low,low,low,low,low,low,low
6005,3,1,high,medium,medium,medium,medium,medium,medium,medium,high,medium
6006,3,2,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6007,3,3,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6008,3,1,medium,low,medium,medium,low,medium,medium,low,medium,medium
6010,3,2,medium,low,medium,medium,medium,high,medium,low,medium,medium
6011,3,0,medium,low,low,low,low,medium,low,low,low,low
6012,3,0,low,low,low,medium,low,medium,low,low,low,low
6013,3,1,medium,low,medium,medium,medium,high,medium,high,medium,medium
6014,3,3,high,medium,high,high,high,high,high,high,high,high
6015,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6016,3,2,high,medium,high,medium,medium,high,medium,medium,high,medium
6017,3,2,medium,medium,medium,high,medium,high,medium,medium,medium,medium
6018,3,0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6019,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6020,3,2,medium,medium,high,medium,medium,high,medium,medium,medium,high
6021,3,2,medium,low,low,high,medium,high,medium,low,medium,high
6022,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6023,3,3,high,medium,high,high,high,high,high,medium,high,high
6024,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6025,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6026,3,3,high,medium,high,high,high,high,high,medium,high,high
6027,3,3,high,medium,high,medium,high,high,high,high,high,high
6028,3,1,low,low,low,low,low,medium,low,low,low,medium
6029,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6030,3,3,high,medium,high,medium,medium,high,medium,medium,high,high
6031,3,2,high,medium,high,medium,medium,high,high,medium,high,high
6032,3,2,medium,low,medium,medium,medium,high,medium,low,medium,medium
6033,3,2,medium,low,high,medium,medium,medium,medium,medium,high,medium
6034,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6035,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6036,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6037,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6038,3,1,low,low,low,low,low,low,low,low,low,low
6039,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
